dataset,task,condition_id,seed,split,model,test_metric,routing_mode
atlas_het,node_classification,ov0.10_cross0.50,1,0,graphatlas_c_beta_minus_1,0.8163265585899353,certificate
atlas_het,node_classification,ov0.25_cross0.00,1,0,graphatlas_c_beta_minus_1,0.7653061151504517,certificate
atlas_het,node_classification,ov0.25_cross0.15,1,0,graphatlas_c_beta_minus_1,0.7653061151504517,certificate
atlas_het,node_classification,ov0.25_cross0.30,1,0,graphatlas_c_beta_minus_1,0.7653061151504517,certificate
atlas_het,node_classification,ov0.25_cross0.50,1,0,graphatlas_c_beta_minus_1,0.7653061151504517,certificate
atlas_het,node_classification,ov0.40_cross0.00,1,0,graphatlas_c_beta_minus_1,0.8265306353569031,certificate
atlas_het,node_classification,ov0.40_cross0.15,1,0,graphatlas_c_beta_minus_1,0.8265306353569031,certificate
atlas_het,node_classification,ov0.40_cross0.30,1,0,graphatlas_c_beta_minus_1,0.8265306353569031,certificate
atlas_het,node_classification,ov0.40_cross0.50,1,0,graphatlas_c_beta_minus_1,0.8265306353569031,certificate
atlas_het,node_classification,ov0.55_cross0.00,1,0,graphatlas_c_beta_minus_1,0.8367347121238708,certificate
atlas_het,node_classification,ov0.55_cross0.15,1,0,graphatlas_c_beta_minus_1,0.8367347121238708,certificate
atlas_het,node_classification,ov0.55_cross0.30,1,0,graphatlas_c_beta_minus_1,0.8367347121238708,certificate
atlas_het,node_classification,ov0.55_cross0.50,1,0,graphatlas_c_beta_minus_1,0.8367347121238708,certificate
atlas_het,node_classification,ov0.10_cross0.00,2,0,graphatlas_c_beta_minus_1,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.15,2,0,graphatlas_c_beta_minus_1,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.30,2,0,graphatlas_c_beta_minus_1,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.50,2,0,graphatlas_c_beta_minus_1,0.7346938848495483,certificate
atlas_het,node_classification,ov0.25_cross0.00,2,0,graphatlas_c_beta_minus_1,0.7448979616165161,certificate
atlas_het,node_classification,ov0.25_cross0.15,2,0,graphatlas_c_beta_minus_1,0.7448979616165161,certificate
atlas_het,node_classification,ov0.25_cross0.30,2,0,graphatlas_c_beta_minus_1,0.7448979616165161,certificate
atlas_het,node_classification,ov0.25_cross0.50,2,0,graphatlas_c_beta_minus_1,0.7448979616165161,certificate
atlas_het,node_classification,ov0.40_cross0.00,2,0,graphatlas_c_beta_minus_1,0.7653061151504517,certificate
atlas_het,node_classification,ov0.40_cross0.15,2,0,graphatlas_c_beta_minus_1,0.7653061151504517,certificate
atlas_het,node_classification,ov0.40_cross0.30,2,0,graphatlas_c_beta_minus_1,0.7653061151504517,certificate
atlas_het,node_classification,ov0.40_cross0.50,2,0,graphatlas_c_beta_minus_1,0.7653061151504517,certificate
atlas_het,node_classification,ov0.55_cross0.00,2,0,graphatlas_c_beta_minus_1,0.704081654548645,certificate
atlas_het,node_classification,ov0.55_cross0.15,2,0,graphatlas_c_beta_minus_1,0.704081654548645,certificate
atlas_het,node_classification,ov0.55_cross0.30,2,0,graphatlas_c_beta_minus_1,0.704081654548645,certificate
atlas_het,node_classification,ov0.55_cross0.50,2,0,graphatlas_c_beta_minus_1,0.704081654548645,certificate
atlas_het,node_classification,smoke,0,0,graphatlas_c_coordinate_relu,0.304347813129425,certificate
atlas_het,node_classification,smoke,0,0,graphatlas_c_coordinate_relu,0.304347813129425,certificate
atlas_het,node_classification,ov0.10_cross0.00,0,0,graphatlas_c_coordinate_relu,0.8787878751754761,certificate
atlas_het,node_classification,ov0.10_cross0.15,0,0,graphatlas_c_coordinate_relu,0.8787878751754761,certificate
atlas_het,node_classification,ov0.10_cross0.30,0,0,graphatlas_c_coordinate_relu,0.8787878751754761,certificate
atlas_het,node_classification,ov0.10_cross0.50,0,0,graphatlas_c_coordinate_relu,0.8787878751754761,certificate
atlas_het,node_classification,ov0.25_cross0.00,0,0,graphatlas_c_coordinate_relu,0.9191918969154358,certificate
atlas_het,node_classification,ov0.25_cross0.15,0,0,graphatlas_c_coordinate_relu,0.9191918969154358,certificate
atlas_het,node_classification,ov0.25_cross0.30,0,0,graphatlas_c_coordinate_relu,0.9191918969154358,certificate
atlas_het,node_classification,ov0.25_cross0.50,0,0,graphatlas_c_coordinate_relu,0.9191918969154358,certificate
atlas_het,node_classification,ov0.40_cross0.00,0,0,graphatlas_c_coordinate_relu,0.8585858345031738,certificate
atlas_het,node_classification,ov0.40_cross0.15,0,0,graphatlas_c_coordinate_relu,0.8585858345031738,certificate
atlas_het,node_classification,ov0.40_cross0.30,0,0,graphatlas_c_coordinate_relu,0.8585858345031738,certificate
atlas_het,node_classification,ov0.40_cross0.50,0,0,graphatlas_c_coordinate_relu,0.8585858345031738,certificate
atlas_het,node_classification,ov0.55_cross0.00,0,0,graphatlas_c_coordinate_relu,0.868686854839325,certificate
atlas_het,node_classification,ov0.55_cross0.15,0,0,graphatlas_c_coordinate_relu,0.868686854839325,certificate
atlas_het,node_classification,ov0.55_cross0.30,0,0,graphatlas_c_coordinate_relu,0.868686854839325,certificate
atlas_het,node_classification,ov0.55_cross0.50,0,0,graphatlas_c_coordinate_relu,0.868686854839325,certificate
atlas_het,node_classification,ov0.10_cross0.00,1,0,graphatlas_c_coordinate_relu,0.8673469424247742,certificate
atlas_het,node_classification,ov0.10_cross0.15,1,0,graphatlas_c_coordinate_relu,0.8673469424247742,certificate
atlas_het,node_classification,ov0.10_cross0.30,1,0,graphatlas_c_coordinate_relu,0.8673469424247742,certificate
atlas_het,node_classification,ov0.10_cross0.50,1,0,graphatlas_c_coordinate_relu,0.8673469424247742,certificate
atlas_het,node_classification,ov0.25_cross0.00,1,0,graphatlas_c_coordinate_relu,0.8265306353569031,certificate
atlas_het,node_classification,ov0.25_cross0.15,1,0,graphatlas_c_coordinate_relu,0.8265306353569031,certificate
atlas_het,node_classification,ov0.25_cross0.30,1,0,graphatlas_c_coordinate_relu,0.8265306353569031,certificate
