source_id,paper_title,venue,year,table_id,source_url,dataset,dataset_version,task,metric,feature_condition,split_protocol,model,mean,std,unit,n_runs,comparison_level,notes,mean_fraction,std_fraction,effective_comparison_level,compatibility_notes
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,77.54,2.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7754000000000001,0.023,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,73.54,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7354,0.013000000000000001,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,OGNN,50.24,1.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5024000000000001,0.016,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,73.33,3.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7333,0.039,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,80.0,1.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.8,0.019,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,81.05,1.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.8105,0.013999999999999999,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,71.36,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7136,0.003,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,SEGSL,46.69,0.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.4669,0.004,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,56.67,3.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5667,0.031,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,65.0,1.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.65,0.012,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,58.6,2.0,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.586,0.02,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,70.6,0.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.706,0.002,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,DisamGCL,44.37,0.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.4437,0.001,contextual,"feature_condition: published=shallow_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,52.86,1.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5286,0.018000000000000002,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,43.64,3.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.4364,0.033,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,41.4,1.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.414,0.018000000000000002,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,66.7,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.667,0.013000000000000001,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GCN,39.33,1.0,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.3933,0.01,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,75.71,1.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7570999999999999,0.018000000000000002,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,81.82,2.5,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.8181999999999999,0.025,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,80.35,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.8035,0.013000000000000001,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,70.37,0.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.7037,0.001,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GraphSAGE,46.63,0.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.46630000000000005,0.001,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GAT,54.28,5.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5428000000000001,0.051,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GAT,51.36,2.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5136,0.023,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,llm_features,hetgb_paper,GAT,50.53,1.7,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.,0.5053,0.017,contextual,"feature_condition: published=llm_features, project=text_plus_structure"
